"","title","author","subject","abstract","date"
"76","gamifying a software testing course with continuous integration","philipp straubinger, gordon fraser","software engineering","testing plays a crucial role in software development, and it is essential for software engineering students to receive proper testing education. however, motivating students to write tests and use automated testing during software development can be challenging. to address this issue and enhance student engagement in testing when they write code, we propose to incentivize students to test more by gamifying continuous integration. for this we use gamekins, a tool that is seamlessly integrated into the jenkins continuous integration platform and uses game elements based on commits to the source code repository: developers can earn points by completing test challenges and quests generated by gamekins, compete with other developers or teams on a leaderboard, and receive achievements for their test-related accomplishments. in this paper, we present our integration of gamekins into an undergraduate-level course on software testing. we observe a correlation between how students test their code and their use of gamekins, as well as a significant improvement in the accuracy of their results compared to a previous iteration of the course without gamification. as a further indicator of how this approach improves testing behavior, the students reported enjoyment in writing tests with gamekins.",2024-01-31
"77","challenges in understanding the relationship between teamwork quality and project success in large-scale agile projects","torgeir dingsøyr, phillip schneider, gunnar rye bergersen, yngve lindsjørn","software engineering","a number of methods for large-scale agile development have recently been suggested. much of the advice in agile methods focuses on teamwork. prior research has established that teamwork quality influences project success both for traditional software development teams and agile teams. further, prior studies have also suggested that teamwork quality may play out differently in large projects compared to small. we investigated the relationship between teamwork quality and project success with a survey of 196 project participants across 34 teams in four projects, replicating a previous study on single teams. the new data do not fit the previously established theoretical model, which raises several concerns. the observed effect of teamwork quality on project success operates differently across projects. we discuss possible reasons, which include disagreements on what characterises success in large-scale agile development, ""concept drift"" of teamwork quality factors, the possibility that interteam factors might have more influence on project success than intrateam factors, and finally, that our study design does not capture all relevant levels and functions. we conclude with a call for more studies on the quality and frequency of interaction between teams in addition to internal team factors to further advance theory and practice within large-scale agile software development.",2024-01-31
"78","spviz: a dsl-driven approach for software project visualization tooling","niklas rentz, reinhard von hanxleden","software engineering","for most service architectures, such as osgi and spring, architecture-specific tools allow software developers and architects to visualize otherwise obscure configurations hidden in the project files. such visualization tools are often used for documentation purposes and help to better understand programs than with source code alone. however, such tools often do not address project-specific peculiarities or do not exist at all for less common architectures, requiring developers to use different visualization and analysis tools within the same architecture. furthermore, many generic modeling tools and architecture visualization tools require their users to create and maintain models manually.
we here propose a dsl-driven approach that allows software architects to define and adapt their own project visualization tool. the approach, which we refer to as software project visualization (spviz), uses two dsls, one to describe architectural elements and their relationships, and one to describe how these should be visualized. we demonstrate how spviz can then automatically synthesize a customized, project-specific visualization tool that can adapt to changes in the underlying project automatically.
we implemented our approach in an open-source library, also termed spviz and discuss and analyze four different tools that follow this concept, including open-source projects and projects from an industrial partner in the railway domain.",2024-01-30
"79","llm4sechw: leveraging domain specific large language model for hardware debugging","weimin fu, kaichen yang, raj gautam dutta, xiaolong guo, gang qu","hardware architecture","this paper presents llm4sechw, a novel framework for hardware debugging that leverages domain specific large language model (llm). despite the success of llms in automating various software development tasks, their application in the hardware security domain has been limited due to the constraints of commercial llms and the scarcity of domain specific data. to address these challenges, we propose a unique approach to compile a dataset of open source hardware design defects and their remediation steps, utilizing version control data. this dataset provides a substantial foundation for training machine learning models for hardware. llm4sechw employs fine tuning of medium sized llms based on this dataset, enabling the identification and rectification of bugs in hardware designs. this pioneering approach offers a reference workflow for the application of fine tuning domain specific llms in other research areas. we evaluate the performance of our proposed system on various open source hardware designs, demonstrating its efficacy in accurately identifying and correcting defects. our work brings a new perspective on automating the quality control process in hardware design.",2024-01-28
"80","the role of library versions in developer-chatgpt conversations","rachna raj, diego elias costa","software engineering","the latest breakthroughs in large language models (llm) have empowered software development tools, such as chatgpt, to aid developers in complex tasks. developers use chatgpt to write code, review code changes, and even debug their programs. in these interactions, chatgpt often recommends code snippets that depend on external libraries. however, code from libraries changes over time, invalidating a once-correct code snippet and making it difficult to reuse recommended code.
in this study, we analyze devgpt, a dataset of more than 4,000 developer-chatgpt interactions, to understand the role of library versions in code-related conversations. we quantify how often library version constraints are mentioned in code-related conversations and when chatgpt recommends the installation of specific libraries. our findings show that, albeit to constantly recommend and analyze code with external dependencies, library version constraints only appear in 9% of the conversations. in the majority of conversations, the version constraints are prompted by users (as opposed to being specified by chatgpt) as a method for receiving better quality responses. moreover, we study how library version constraints are used in the conversation through qualitative methods, identifying several potential problems that warrant further research.",2024-01-29
"81","security code review by llms: a deep dive into responses","jiaxin yu, peng liang, yujia fu, amjed tahir, mojtaba shahin, chong wang, yangxiao cai","software engineering","security code review aims to combine automated tools and manual efforts to detect security defects during development. the rapid development of large language models (llms) has shown promising potential in software development, as well as opening up new possibilities in automated security code review. to explore the challenges of applying llms in practical code review for security defect detection, this study compared the detection performance of three state-of-the-art llms (gemini pro, gpt-4, and gpt-3.5) under five prompts on 549 code files that contain security defects from real-world code reviews. through analyzing 82 responses generated by the best-performing llm-prompt combination based on 100 randomly selected code files, we extracted and categorized quality problems present in these responses into 5 themes and 16 categories. our results indicate that the responses produced by llms often suffer from verbosity, vagueness, and incompleteness, highlighting the necessity to enhance their conciseness, understandability, and compliance to security defect detection. this work reveals the deficiencies of llm-generated responses in security code review and paves the way for future optimization of llms towards this task.",2024-01-29
"82","an empirical study on usage and perceptions of llms in a software engineering project","sanka rasnayaka, guanlin wang, ridwan shariffdeen, ganesh neelakanta iyer","software engineering","large language models (llms) represent a leap in artificial intelligence, excelling in tasks using human language(s). although the main focus of general-purpose llms is not code generation, they have shown promising results in the domain. however, the usefulness of llms in an academic software engineering project has not been fully explored yet. in this study, we explore the usefulness of llms for 214 students working in teams consisting of up to six members. notably, in the academic course through which this study is conducted, students were encouraged to integrate llms into their development tool-chain, in contrast to most other academic courses that explicitly prohibit the use of llms.
in this paper, we analyze the ai-generated code, prompts used for code generation, and the human intervention levels to integrate the code into the code base. we also conduct a perception study to gain insights into the perceived usefulness, influencing factors, and future outlook of llm from a computer science student's perspective. our findings suggest that llms can play a crucial role in the early stages of software development, especially in generating foundational code structures, and helping with syntax and error debugging. these insights provide us with a framework on how to effectively utilize llms as a tool to enhance the productivity of software engineering students, and highlight the necessity of shifting the educational focus toward preparing students for successful human-ai collaboration.",2024-01-29
"83","agile effort estimation: comparing the accuracy and efficiency of planning poker, bucket system, and affinity estimation methods","marko poženel, luka fürst, damjan vavpotič, tomaž hovelja","software engineering","published studies on agile effort estimation predominantly focus on comparisons of the accuracy of different estimation methods, while efficiency comparisons, i.e. how much time the estimation methods consume was not in the forefront. however, for practical use in software development, the time required can be a very important cost factor for enterprises, especially when the accuracy of different agile effort estimations is similar. in this study, we thus try to advance the current standard accuracy comparison between methods by introducing efficiency i.e. time it takes to use a method as an additional dimension of comparison. we conduct this comparison between three agile effort estimation methods that were not yet compared in the literature, namely planning poker, bucket system and affinity estimation. for the comparison, we used eight student teams with 29 students that had to use all the effort estimation methods during the course where they had to finish a programming project in 3 weeks. the results indicate that after the students get used to using the different methods the accuracy between them is not statistically significantly different, however, the efficiency is. on average bucket system and affinity estimation methods take half as much time as planning poker.",2024-01-29
"84","jtag-based remote configuration of fpgas over optical fibers","binwei deng, chonghan liu, jinghong chen, kai chen, datao gong, di guo, suen hou, deping huang, xiaoting li, tiankuan liu, ping-kun teng, annie c. xiang, hao xu, yang you, jingbo ye","instrumentation and detectors","in this paper, a remote fpga-configuration method based on jtag extension over optical fibers is presented. the method takes advantage of commercial components and ready-to-use software such as impact and does not require any hardware or software development. the method combines the advantages of the slow remote jtag configuration and the fast local flash memory configuration. the method has been verified successfully and used in the demonstrator of liquid-argon trigger digitization board (ltdb) for the atlas liquid argon calorimeter phase-i trigger upgrade. all components on the fpga side are verified to meet the radiation tolerance requirements.",2024-01-28
"85","where's the ""up""?! a comprehensive (bottom-up) study on the security of arm cortex-m systems","xi tan, zheyuan ma, sandro pinto, le guan, ning zhang, jun xu, zhiqiang lin, hongxin hu, ziming zhao","cryptography and security","arm cortex-m processors are the most widely used 32-bit microcontrollers among embedded and internetof-things devices. despite the widespread usage, there has been little effort in summarizing their hardware security features, characterizing the limitations and vulnerabilities of their hardware and software stack, and systematizing the research on securing these systems. the goals and contributions of this paper are multi-fold. first, we analyze the hardware security limitations and issues of cortex-m systems. second, we conducted a deep study of the software stack designed for cortex-m and revealed its limitations, which is accompanied by an empirical analysis of 1,797 real-world firmware from seven hardware vendors. third, we categorize the reported bugs in cortex-m software systems. finally, we systematize the efforts that aim at securing cortex-m systems and evaluate them in terms of the protections they offer, run-time performance, required hardware features, etc. based on the insights, we develop a set of recommendations for the research community and mcu software developers.",2024-01-27
"86","moving beyond deletions: program simplification via diverse program transformations","haibo wang, zezhong xing, zheng wang, chengnian sun, shin hwei tan","software engineering","to reduce the complexity of software, developers manually simplify program (known as developer-induced program simplification in this paper) to reduce its code size yet preserving its functionality but manual simplification is time-consuming and error-prone. to reduce manual effort, rule-based approaches (e.g., refactoring) and deletion-based approaches (e.g., delta debugging) can be potentially applied to automate developer-induced program simplification. however, as there is little study on how developers simplify programs in open-source software (oss) projects, it is unclear whether these approaches can be effectively used for developer-induced program simplification. hence, we present the first study of developer-induced program simplification in oss projects, focusing on the types of program transformations used, the motivations behind simplifications, and the set of program transformations covered by existing refactoring types. our study of 382 pull requests from 296 projects reveals that there exist gaps in applying existing approaches for automating developer-induced program simplification. and outlines the criteria for designing automatic program simplification techniques. inspired by our study and to reduce the manual effort in developer-induced program simplification, we propose simpt5, a tool that can automatically produce simplified programs (semantically-equivalent programs with reduced source lines of code). simpt5 is trained based on our collected dataset of 92,485 simplified programs with two heuristics: (1) simplified line localization that encodes lines changed in simplified programs, and (2)checkers that measure the quality of generated programs. our evaluation shows that simpt5 are more effective than prior approaches in automating developer-induced program simplification.",2024-01-26
"87","analyzing the concept of technical debt in the context of agile software development: a systematic literature review","woubshet nema behutiye, pilar rodriguez, markku oivo, ayse tosun","software engineering","technical debt (td) is a metaphor that is used to communicate the consequences of poor software development practices to non-technical stakeholders. in recent years, it has gained significant attention in agile software development (asd). the purpose of this study is to analyze and synthesize the state of the art of td, and its causes, consequences, and management strategies in the context of asd. using a systematic literature review (slr), 38 primary studies, out of 346 studies, were identified and analyzed. we found five research areas of interest related to the literature of td in asd. among those areas, managing td in asd received the highest attention, followed by architecture in asd and its relationship with td. in addition, eight categories regarding the causes and five categories regarding the consequences of incurring td in asd were identified. focus on quick delivery and architectural and design issues were the most popular causes of incurring td in asd. reduced productivity, system degradation and increased maintenance cost were identified as significant consequences of incurring td in asd. additionally, we found 12 strategies for managing td in the context of asd, out of which refactoring and enhancing the visibility of td were the most significant. the results of this study provide a structured synthesis of td and its management in the context of asd as well as potential research areas for further investigation.",2024-01-26
"88","a first look at the general data protection regulation (gdpr) in open-source software","lucas franke, huayu liang, aaron brantly, james c davis, chris brown","software engineering","this poster describes work on the general data protection regulation (gdpr) in open-source software. although open-source software is commonly integrated into regulated software, and thus must be engineered or adapted for compliance, we do not know how such laws impact open-source software development.
we surveyed open-source developers (n=47) to understand their experiences and perceptions of gdpr. we learned many engineering challenges, primarily regarding the management of users' data and assessments of compliance. we call for improved policy-related resources, especially tools to support data privacy regulation implementation and compliance in open-source software.",2024-01-26
"89","zs4c: zero-shot synthesis of compilable code for incomplete code snippets using chatgpt","azmain kabir, shaowei wang, yuan tian, tse-hsun (peter)chen, muhammad asaduzzaman, wenbin zhang","software engineering","technical question and answering (q&a) sites such as stack overflow have become an important source for software developers to seek knowledge. however, code snippets on q&a sites are usually uncompilable and semantically incomplete for compilation due to unresolved types and missing dependent libraries, which raises the obstacle for users to reuse or analyze q&a code snippets. prior approaches either are not designed for synthesizing compilable code or suffer from a low compilation success rate. to address this problem, we propose zs4c, a lightweight approach to perform zero-shot synthesis of compilable code from incomplete code snippets using large language model (llm). zs4c operates in two stages. in the first stage, zs4c utilizes an llm, i.e., chatgpt, to identify missing import statements for a given code snippet, leveraging our designed task-specific prompt template. in the second stage, zs4c fixes compilation errors caused by incorrect import statements and syntax errors through collaborative work between chatgpt and a compiler. we thoroughly evaluated zs4c on a widely used benchmark called stattype-so against the sota approach snr. compared with snr, zs4c improves the compilation rate from 63% to 87.6%, with a 39.3% improvement. on average, zs4c can infer more accurate import statements than snr, with an improvement of 6.6% in the f1.",2024-01-25
"90","contract usage and evolution in android mobile applications","david r. ferreira, alexandra mendes, joão f. ferreira","software engineering","formal contracts and assertions are effective methods to enhance software quality by enforcing preconditions, postconditions, and invariants. previous research has demonstrated the value of contracts in traditional software development contexts. however, the adoption and impact of contracts in the context of mobile application development, particularly of android applications, remain unexplored.
to address this, we present the first large-scale empirical study on the presence and use of contracts in android applications, written in java or kotlin. we consider different types of contract elements divided into five categories: conditional runtime exceptions, apis, annotations, assertions, and other. we analyzed 2,390 android applications from the f-droid repository and processed more than 51,749 kloc to determine 1) how and to what extent contracts are used, 2) how contract usage evolves, and 3) whether contracts are used safely in the context of program evolution and inheritance. our findings include: 1) although most applications do not specify contracts, annotation-based approaches are the most popular among practitioners; 2) applications that use contracts continue to use them in later versions, but the number of methods increases at a higher rate than the number of contracts; and 3) there are many potentially unsafe specification changes when applications evolve and in subtyping relationships, which indicates a lack of specification stability. our findings show that it would be desirable to have libraries that standardize contract specifications in java and kotlin, and tools that aid practitioners in writing stronger contracts and in detecting contract violations in the context of program evolution and inheritance.",2024-01-25
"91","deepseek-coder: when the large language model meets programming -- the rise of code intelligence","daya guo, qihao zhu, dejian yang, zhenda xie, kai dong, wentao zhang, guanting chen, xiao bi, y. wu, y.k. li, fuli luo, yingfei xiong, wenfeng liang","software engineering","the rapid development of large language models has revolutionized code intelligence in software development. however, the predominance of closed-source models has restricted extensive research and development. to address this, we introduce the deepseek-coder series, a range of open-source code models with sizes from 1.3b to 33b, trained from scratch on 2 trillion tokens. these models are pre-trained on a high-quality project-level code corpus and employ a fill-in-the-blank task with a 16k window to enhance code generation and infilling. our extensive evaluations demonstrate that deepseek-coder not only achieves state-of-the-art performance among open-source code models across multiple benchmarks but also surpasses existing closed-source models like codex and gpt-3.5. furthermore, deepseek-coder models are under a permissive license that allows for both research and unrestricted commercial use.",2024-01-25
"92","from requirements to architecture: an ai-based journey to semi-automatically generate software architectures","tobias eisenreich, sandro speth, stefan wagner","software engineering","designing domain models and software architectures represents a significant challenge in software development, as the resulting architectures play a vital role in fulfilling the system's quality of service. due to time pressure, architects often model only one architecture based on their known limited domain understanding, patterns, and experience instead of thoroughly analyzing the domain and evaluating multiple candidates, selecting the best fitting. existing approaches try to generate domain models based on requirements, but still require time-consuming manual effort to achieve good results. therefore, in this vision paper, we propose a method to generate software architecture candidates semi-automatically based on requirements using artificial intelligence techniques. we further envision an automatic evaluation and trade-off analysis of the generated architecture candidates using, e.g., the architecture trade-off analysis method combined with large language models and quantitative analyses. to evaluate this approach, we aim to analyze the quality of the generated architecture models and the efficiency and effectiveness of our proposed process by conducting qualitative studies.",2024-01-25
"93","what makes a great software quality assurance engineer?","roselane silva farias, iftekhar ahmed, eduardo santana de almeida","software engineering","software quality assurance (sqa) engineers are responsible for assessing a product during every phase of the software development process to ensure that the outcomes of each phase and the final product possess the desired qualities. in general, a great sqa engineer needs to have a different set of abilities from development engineers to effectively oversee the entire product development process from beginning to end. recent empirical studies identified important attributes of software engineers and managers, but the quality assurance role is overlooked. as software quality aspects have become more of a priority in the life cycle of software development, employers seek professionals that best suit the company's objectives and new graduates desire to make a valuable contribution through their job as an sqa engineer, but what makes them great? we addressed this knowledge gap by conducting 25 semi-structured interviews and 363 survey respondents with software quality assurance engineers from different companies around the world. we use the data collected from these activities to derive a comprehensive set of attributes that are considered important. as a result of the interviews, twenty-five attributes were identified and grouped into five main categories: personal, social, technical, management, and decision-making attributes. through a rating survey, we confirmed that the distinguishing characteristics of great sqa engineers are curiosity, the ability to communicate effectively, and critical thinking skills. this work will guide further studies with sqa practitioners, by considering contextual factors and providing some implications for research and practice.",2024-01-24
"94","can large language models write parallel code?","daniel nichols, joshua h. davis, zhaojun xie, arjun rajaram, abhinav bhatele","distributed, parallel, and cluster computing","large language models are becoming an increasingly popular tool for software development. their ability to model and generate source code has been demonstrated in a variety of contexts, including code completion, summarization, translation, and lookup. however, they often struggle to generate code for more complex tasks. in this paper, we explore the ability of state-of-the-art language models to generate parallel code. we propose a benchmark, pcgbench, consisting of a set of 420 tasks for evaluating the ability of language models to generate parallel code, and we evaluate the performance of several state-of-the-art open- and closed-source language models on these tasks. we introduce novel metrics for comparing parallel code generation performance and use them to explore how well each llm performs on various parallel programming models and computational problem types.",2024-01-23
"95","software engineering for robotics: future research directions; report from the 2023 workshop on software engineering for robotics","claire le goues (carnegie mellon university), sebastian elbaum (university of virginia), david anthony (southwest research institute), z. berkay celik (purdue university), mauricio castillo-effen (lockheed martin), nikolaus correll (university of colorado-boulder), pooyan jamshidi (university of south carolina), morgan quigley (open source robotics foundation), trenton tabor (carnegie mellon university), qi zhu (northwestern university)","robotics","robots are experiencing a revolution as they permeate many aspects of our daily lives, from performing house maintenance to infrastructure inspection, from efficiently warehousing goods to autonomous vehicles, and more. this technical progress and its impact are astounding. this revolution, however, is outstripping the capabilities of existing software development processes, techniques, and tools, which largely have remained unchanged for decades. these capabilities are ill-suited to handling the challenges unique to robotics software such as dealing with a wide diversity of domains, heterogeneous hardware, programmed and learned components, complex physical environments captured and modeled with uncertainty, emergent behaviors that include human interactions, and scalability demands that span across multiple dimensions.
looking ahead to the need to develop software for robots that are ever more ubiquitous, autonomous, and reliant on complex adaptive components, hardware, and data, motivated an nsf-sponsored community workshop on the subject of software engineering for robotics, held in detroit, michigan in october 2023. the goal of the workshop was to bring together thought leaders across robotics and software engineering to coalesce a community, and identify key problems in the area of se for robotics that that community should aim to solve over the next 5 years. this report serves to summarize the motivation, activities, and findings of that workshop, in particular by articulating the challenges unique to robot software, and identifying a vision for fruitful near-term research directions to tackle them.",2024-01-22
"96","the effect of predictive formal modelling at runtime on performance in human-swarm interaction","ayodeji o. abioye, william hunt, yue gu, eike schneiders, mohammad naiseh, joel e. fischer, sarvapali d. ramchurn, mohammad d. soorati, blair archibald, michele sevegnani","robotics","formal modelling is often used as part of the design and testing process of software development to ensure that components operate within suitable bounds even in unexpected circumstances. in this paper, we use predictive formal modelling (pfm) at runtime in a human-swarm mission and show that this integration can be used to improve the performance of human-swarm teams. we recruited 60 participants to operate a simulated aerial swarm to deliver parcels to target locations. in the pfm condition, operators were informed of the estimated completion times given the number of drones deployed, whereas in the no-pfm condition, operators did not have this information. the operators could control the mission by adding or removing drones from the mission and thereby, increasing or decreasing the overall mission cost. the evaluation of human-swarm performance relied on four key metrics: the time taken to complete tasks, the number of agents involved, the total number of tasks accomplished, and the overall cost associated with the human-swarm task. our results show that pfm modelling at runtime improves mission performance without significantly affecting the operator's workload or the system's usability.",2024-01-22
"97","revolutionizing api documentation through summarization","amirhossein naghshzan, sylvie ratte","software engineering","this study tackles the challenges associated with interpreting application programming interface (api) documentation, an integral aspect of software development. official api documentation, while essential, can be lengthy and challenging to navigate, prompting developers to seek unofficial sources such as stack overflow. leveraging the vast user-generated content on stack overflow, including code snippets and discussions, we employ bertopic and extractive summarization to automatically generate concise and informative api summaries. these summaries encompass key insights like general usage, common developer issues, and potential solutions, sourced from the wealth of knowledge on stack overflow. software developers evaluate these summaries for performance, coherence, and interoperability, providing valuable feedback on the practicality of our approach.",2024-01-21
"98","binaryai: binary software composition analysis via intelligent binary source code matching","ling jiang, junwen an, huihui huang, qiyi tang, sen nie, shi wu, yuqun zhang","software engineering","while third-party libraries are extensively reused to enhance productivity during software development, they can also introduce potential security risks such as vulnerability propagation. software composition analysis, proposed to identify reused tpls for reducing such risks, has become an essential procedure within modern devsecops. as one of the mainstream sca techniques, binary-to-source sca identifies the third-party source projects contained in binary files via binary source code matching, which is a major challenge in reverse engineering since binary and source code exhibit substantial disparities after compilation. the existing binary-to-source sca techniques leverage basic syntactic features that suffer from redundancy and lack robustness in the large-scale tpl dataset, leading to inevitable false positives and compromised recall. to mitigate these limitations, we introduce binaryai, a novel binary-to-source sca technique with two-phase binary source code matching to capture both syntactic and semantic code features. first, binaryai trains a transformer-based model to produce function-level embeddings and obtain similar source functions for each binary function accordingly. then by applying the link-time locality to facilitate function matching, binaryai detects the reused tpls based on the ratio of matched source functions. our experimental results demonstrate the superior performance of binaryai in terms of binary source code matching and the downstream sca task. specifically, our embedding model outperforms the state-of-the-art model codecmr, i.e., achieving 22.54% recall@1 and 0.34 mrr compared with 10.75% and 0.17 respectively. additionally, binaryai outperforms all existing binary-to-source sca tools in tpl detection, increasing the precision from 73.36% to 85.84% and recall from 59.81% to 64.98% compared with the well-recognized commercial sca product black duck.",2024-01-20
"99","boidae: your personal mining platform","brian sigurdson, samuel w. flint, robert dyer","software engineering","mining software repositories is a useful technique for researchers and practitioners to see what software developers actually do when developing software. tools like boa provide users with the ability to easily mine these open-source software repositories at a very large scale, with datasets containing hundreds of thousands of projects. the trade-off is that users must use the provided infrastructure, query language, runtime, and datasets and this might not fit all analysis needs. in this work, we present boidae: a family of boa installations controlled and customized by users. boidae uses automation tools such as ansible and docker to facilitate the deployment of a customized boa installation. in particular, boidae allows the creation of custom datasets generated from any set of git repositories, with helper scripts to aid in finding and cloning repositories from github and sourceforge. in this paper, we briefly describe the architecture of boidae and how researchers can utilize the infrastructure to generate custom datasets. boidae's scripts and all infrastructure it builds upon are open-sourced. a video demonstration of boidae's installation and extension is available at this https url.",2024-01-20
"100","code reviewer recommendation based on a hypergraph with multiplex relationships","yu qiao, jian wang, can cheng, wei tang, peng liang, yuqi zhao, bing li","software engineering","code review is an essential component of software development, playing a vital role in ensuring a comprehensive check of code changes. however, the continuous influx of pull requests and the limited pool of available reviewer candidates pose a significant challenge to the review process, making the task of assigning suitable reviewers to each review request increasingly difficult. to tackle this issue, we present mirrec, a novel code reviewer recommendation method that leverages a hypergraph with multiplex relationships. mirrec encodes high-order correlations that go beyond traditional pairwise connections using degree-free hyperedges among pull requests and developers. this way, it can capture high-order implicit connectivity and identify potential reviewers. to validate the effectiveness of mirrec, we conducted experiments using a dataset comprising 48,374 pull requests from ten popular open-source software projects hosted on github. the experiment results demonstrate that mirrec, especially without pr-review commenters relationship, outperforms existing stateof-the-art code reviewer recommendation methods in terms of acc and mrr, highlighting its significance in improving the code review process.",2024-01-19
"101","in-ide human-ai experience in the era of large language models; a literature review","agnia sergeyuk, sergey titov, maliheh izadi","software engineering","integrated development environments (ides) have become central to modern software development, especially with the integration of artificial intelligence (ai) to enhance programming efficiency and decision-making. the study of in-ide human-ai experience is critical in understanding how these ai tools are transforming the software development process, impacting programmer productivity, and influencing code quality. we conducted a literature review to study the current state of in-ide human-ai experience research, bridging a gap in understanding the nuanced interactions between programmers and ai assistants within ides. by analyzing 36 selected papers, our study illustrates three primary research branches: design, impact, and quality of interaction. the trends, challenges, and opportunities identified in this paper emphasize the evolving landscape of software development and inform future directions for research and development in this dynamic field. specifically, we invite the community to investigate three aspects of these interactions: designing task-specific user interface, building trust, and improving readability.",2024-01-19
"102","catch the butterfly: peeking into the terms and conflicts among spdx licenses","tao liu, chengwei liu, tianwei liu, he wang, gaofei wu, yang liu, yuqing zhang","software engineering","the widespread adoption of third-party libraries (tpls) in software development has accelerated the creation of modern software. however, this convenience comes with potential legal risks. developers may inadvertently violate the licenses of tpls, leading to legal issues. while existing studies have explored software licenses and potential incompatibilities, these studies often focus on a limited set of licenses or rely on low-quality license data, which may affect their conclusions. to address this gap, there is a need for a high-quality license dataset that encompasses a broad range of mainstream licenses to help developers navigate the complex landscape of software licenses, avoid potential legal pitfalls, and guide solutions for managing license compliance and compatibility in software development. to this end, we conduct the first work to understand the mainstream software licenses based on term granularity and obtain a high-quality dataset of 453 spdx licenses with well-labeled terms and conflicts. specifically, we first conduct a differential analysis of the mainstream platforms to understand the terms and attitudes of each license. next, we propose a standardized set of license terms to capture and label existing mainstream licenses with high quality. moreover, we include copyleft conflicts and conclude the three major types of license conflicts among the 453 spdx licenses. based on these, we carry out two empirical studies to reveal the concerns and threats from the perspectives of both licensors and licensees. one study provides an in-depth analysis of the similarities, differences, and conflicts among spdx licenses, revisits the usage and conflicts of licenses in the npm ecosystem, and draws conclusions that differ from previous work. our studies reveal some insightful findings and disclose relevant analytical data, which set the stage for further research.",2024-01-19
"103","enablers and barriers of empathy in software developer and user interaction: a mixed methods case study","hashini gunatilake, john grundy, rashina hoda, ingo mueller","software engineering","software engineering (se) requires developers to collaborate with stakeholders, and understanding their emotions and perspectives is often vital. empathy is a concept characterising a person's ability to understand and share the feelings of another. however, empathy continues to be an under-researched human aspect in se. we studied how empathy is practised between developers and end users using a mixed methods case study. we used an empathy test, observations and interviews to collect data, and socio technical grounded theory and descriptive statistics to analyse data. we identified the nature of awareness required to trigger empathy and enablers of empathy. we discovered barriers to empathy and a set of potential strategies to overcome these barriers. we report insights on emerging relationships and present a set of recommendations and potential future works on empathy and se for software practitioners and se researchers.",2024-01-17
"104","specgen: automated generation of formal program specifications via large language models","lezhi ma, shangqing liu, yi li, xiaofei xie, lei bu","software engineering","in software development, formal program specifications play a crucial role in various stages. however, manually crafting formal program specifications is rather difficult, making the job time-consuming and labor-intensive. moreover, it is even more challenging to write specifications that correctly and comprehensively describe the semantics of complex programs. to reduce the burden on software developers, automated specification generation methods have emerged. however, existing methods usually rely on predefined templates or grammar, making them struggle to accurately describe the behavior and functionality of complex real-world programs. to tackle this challenge, we introduce specgen, a novel technique for formal program specification generation based on large language models. our key insight is to overcome the limitations of existing methods by leveraging the code comprehension capability of llms. the process of specgen consists of two phases. the first phase employs a conversational approach that guides the llm to generate appropriate specifications for a given program. the second phase, designed for where the llm fails to generate correct specifications, applies four mutation operators to the model-generated specifications and selects verifiable specifications from the mutated ones through a novel heuristic selection strategy by assigning different weights of variants in an efficient manner. to evaluate the performance of specgen, we manually construct a dataset containing 120 test cases. our experimental results demonstrate that specgen succeeds in generating verifiable specifications for 100 out of 120 programs, outperforming the existing purely llm-based approaches and conventional specification generation tools. further investigations on the quality of generated specifications indicate that specgen can comprehensively articulate the behaviors of the input program.",2024-01-16
"105","incentivizing secure software development: the role of liability (waiver) and audit","ziyuan huang, gergely biczók, mingyan liu","cryptography and security","misaligned incentives in secure software development have long been the focus of research in the economics of security. product liability, a powerful legal framework in other industries, has been largely ineffective for software products until recent times. however, the rapid regulatory responses to recent global cyberattacks by both the united states and the european union, together with the (relative) success of the general data protection regulation in defining both duty and standard of care for software vendors, may just enable regulators to use liability to re-align incentives for the benefit of the digital society. specifically, the recently proposed united states national cybersecurity strategy shifts responsibility for cyber incidents back to software vendors. in doing so, the strategy also puts forward the concept of the liability waiver: if a software company voluntarily undergoes and passes an it security audit, its liability is waived.
in this paper, we analyze this audit scenario from the aspect of the software vendor. we propose a mechanism where a software vendor should first undergo a repeated auditing process in each stage of which the vendor decides whether to quit early or stay with additional security investment. we show that the optimal strategy for an opt-in vendor is to never quit; and exert cumulative investments in either ""one-and-done"" or ""incremental"" manner. we relate the audit mechanism to a liability waiver insurance policy and revealed its effect on reshaping the vendor's risk perception. we also discuss influence of audit quality on the vendor's incentives and pinpoint that a desirable audit rule should be highly accurate and less strict.",2024-01-16
